x,y,cls_num
32.10556412,-6.103766441,4
32.10492706,-6.103473663,4
3.042822599,29.63410759,0
4.269666195,28.60911179,0
-48.18660355,23.4218483,4
-48.18483353,23.43157387,4
-4.404026508,54.88703918,1
32.09674835,-38.50863266,1
-18.28394508,-37.38802719,3
-15.31791782,41.57745743,0
-14.83420753,40.24266434,0
-15.57511711,40.55510712,0
-14.83566856,40.15387344,0
-14.97463894,40.75753784,0
-33.40266418,44.33329773,4
-33.40250015,44.33347321,4
-62.60578537,-15.56643391,0
27.80186462,44.82927704,0
-44.2437706,-27.78122139,2
37.89962006,32.95415497,1
37.90022659,32.95401382,1
39.02890778,32.83945465,4
39.02807617,32.83948517,4
56.34497452,13.14734554,1
37.42745209,-57.14362335,1
-24.07736015,-1.130238771,0
67.7162323,-9.233494759,4
-51.2078476,-64.51839447,2
-50.76622391,-64.1842804,2
-51.20088577,-64.72821045,2
19.38489342,13.98490047,0
-33.88685989,-29.83411598,0
57.82656097,-22.49523544,4
57.82656097,-22.49523544,4
20.15366936,0.780469894,0
20.15291786,0.780278444,0
-23.05488777,6.664808273,0
5.965480804,-44.38985062,3
42.5723877,-17.42324638,1
-15.27350521,39.84670258,0
-14.83241177,40.18816376,0
-57.90427399,-16.92025757,0
32.97680664,-38.04170609,1
38.89602661,-58.8071785,1
38.89635468,-58.80754089,1
61.18655396,13.92706966,1
61.18655396,13.92706966,1
52.33109283,9.689884186,1
52.33109283,9.689884186,1
43.13323593,-7.155393124,3
43.13388062,-7.155534267,3
11.37600994,42.44069672,0
11.2392416,42.41027832,0
3.638011456,-68.63477325,1
4.395713806,-68.62200928,1
27.9436264,44.88315964,0
-36.5394249,-9.574968338,0
-36.53810501,-9.575532913,0
-15.00581741,40.72423935,0
-12.80792713,-23.33242607,3
-70.54825592,3.488828659,2
-71.19792175,2.974933863,2
32.6115303,-37.73208237,1
32.76493454,-37.80047226,1
11.14519787,-34.74453735,3
10.92905331,-34.15804672,3
11.15543079,-34.65500259,3
52.72803116,-18.08969498,4
52.72913361,-18.0895195,4
1.628092051,60.86507797,1
-32.02910614,0.031175323,0
67.63256836,-9.27408123,4
67.73886871,-9.228788376,4
43.15649796,7.757635593,4
42.81124115,7.795590878,4
37.23757172,18.19469261,4
-36.61452484,1.986721396,1
-36.6145668,1.986720681,1
-30.64059258,-52.60643768,2
-30.676054,-52.60767365,2
-2.509567499,30.31276131,0
-2.511209965,30.31301308,0
-9.470985413,-43.88874435,3
-9.435628891,-43.86272812,3
1.22597003,-29.61181641,3
1.225974202,-29.6116333,3
32.10129166,-6.103383541,4
32.10046387,-6.103919983,4
32.09975815,-6.103770256,4
32.10025024,-6.104048252,4
9.416796684,12.22639656,4
-47.96824646,-13.6882,2
-48.44698334,-14.23462296,2
77.78436279,10.56822491,4
77.78327179,10.56825924,4
47.60941315,-21.19839859,1
47.60941315,-21.19839859,1
-40.81492996,-21.45958328,2
-40.81492996,-21.45958328,2
-24.72381973,-25.3920002,3
-24.72322655,-25.39210701,3
-24.72322655,-25.39210701,3
-15.57189941,40.57591629,0
-14.67533016,39.32226563,0
-21.18720627,25.82377434,0
38.89771271,-58.8085022,1
38.89767075,-58.80837631,1
9.916210175,-1.750144124,0
10.61156654,-1.29742837,0
47.25505066,-27.5064106,1
27.9436264,44.88315964,0
27.79045296,44.85219193,0
78.54415131,6.516605854,4
46.21614456,-27.79664421,1
-13.87434864,1.003186226,0
-21.66749382,-30.36455536,3
-70.79370117,3.211541891,2
-70.7946167,3.212836266,2
-14.82836819,40.25,0
-15.04862404,40.7714653,0
-14.83782005,40.14522934,0
-32.96424866,9.29569912,0
-10.49384212,31.0955658,0
-10.49387264,31.09564781,0
-21.96921539,-18.4449749,1
-14.93393135,40.70058823,0
-14.82502365,40.26715088,0
4.609530926,-69.45400238,1
4.503534794,-68.04925537,1
-52.59986496,-1.631657243,2
31.15503311,-25.76512718,4
37.230793,-7.271157742,4
37.23163223,-7.273706436,4
46.22334671,-6.931037426,4
46.22050476,-6.932769775,4
-36.71220779,22.56601715,4
-36.71192169,22.56563759,4
-36.71258545,22.56621742,4
-36.71239471,22.56625938,4
-36.7120018,22.56581116,4
-9.262978554,11.27190876,0
-33.2722435,10.03014183,0
-33.0030899,9.446052551,0
-33.62393951,8.976833344,0
4.772642136,28.84897804,0
3.848522902,29.42110634,0
20.15360641,0.781363189,0
20.15373039,0.782988906,0
-34.13841629,8.140958786,0
16.35553169,-39.50782013,3
16.35296822,-39.51230621,3
-0.236740172,-20.96594238,3
-0.236740172,-20.96594238,3
46.8848381,-28.06191063,1
-1.710278749,-25.43446922,3
3.875314474,28.67466927,0
-29.35477257,1.336252451,0
4.197999477,29.65548515,0
3.042335033,29.59581757,0
-15.49949741,48.75543594,0
-15.49950981,48.75515366,0
67.08813477,-15.27487564,4
67.08705139,-15.27496052,4
47.67139816,-46.85284424,1
47.33499146,-46.42482758,1
-0.558454752,-21.63498688,3
0.285936266,-22.4145565,3
