KEY_INDEX,CDL_FLAG,CONDITION_CODE,EQUIP_PROB_CODE,FAULT_FLAG,INJ_SEVER_CODE,PERSON_ID,PERSON_TYPE,REPORT_NO,SAF_EQUIP_CODE,SEX_CODE,VEHICLE_ID,COLLISION_TYPE_CODE,C_M_ZONE_FLAG,JUNCTION_CODE,LANE_CODE,LIGHT_CODE,RD_COND_CODE,RD_DIV_CODE,SURF_COND_CODE,WEATHER_CODE,AREA_DAMAGED_CODE_MAIN,BODY_TYPE_CODE,DAMAGE_CODE,HIT_AND_RUN_FLAG,MOVEMENT_CODE,TIME,AGE,LATITUDE,LONGITUDE,cluster,second_label,first_label,second_labeling
243,N,Apparently Normal,No Misuse,Y,No Injury,e5f8ccdc-cb1d-48ca-828b-a00586469835,D,AC1697000D,Shoulder/Lap Belt(s),F,7c72dbfb-dfa1-4824-99b4-82567dd3c7a3,Single Vehicle ,N,Non Intersection,Right Turn Lane,Dark Lights On,No Defects,"Two-way, Not Divided",Slush,Sleet,Eleven o'clock,(Sport) Utility Vehicle,Disabling,N,Moving Constant Speed,2015.1.31 18:40,40,39.12981057,-76.67465687,0,0,눈길사고,감속 중 사고
258,N,Apparently Normal,No Misuse,N,No Injury,dbf6f2d4-fe72-4083-8d1a-97e24e66de3a,D,AC1740000Z,Shoulder/Lap Belt(s),F,ae18f9d6-2e58-44ae-928d-8853b48210ac,Head On,N,Non Intersection,Right Turn Lane,Dark Lights On,No Defects,"Two-way, Not Divided",Snow,Snow,Eleven o'clock,(Sport) Utility Vehicle,Disabling,N,Moving Constant Speed,2015.2.14 21:06,56,39.13535317,-76.66894913,0,0,눈길사고,감속 중 사고
259,N,Apparently Normal,No Misuse,Y,No Injury,b6ab4efd-b2a4-49bc-9865-1b238461512e,D,AC1740000Z,Shoulder/Lap Belt(s),M,0769c969-ce06-49dc-8a2c-dfe31679322e,Head On,N,Non Intersection,Right Turn Lane,Dark Lights On,No Defects,"Two-way, Not Divided",Snow,Snow,Twelve o'clock,"Other Light Trucks (10,000 lbs (4,536 kg))",Disabling,N,Leaving Traffic Lane,2015.2.14 21:06,34,39.13535317,-76.66894913,0,2,눈길사고,미끌어짐에 의한 사고
272,N,Apparently Normal,No Misuse,N,No Injury,99a0dcb3-5d8d-4649-af2b-2af85674eaba,D,AC1846000R,Shoulder/Lap Belt(s),M,4171d790-9ec3-4e55-8c70-fa5939fa97bc,Same Direction Rear End,N,Non Intersection,Right Turn Lane,Daylight,Foreign Material,"Two-way, Divided, Unprotected (painted >4 feet) Median",Snow,Snow,Six o'clock,Passenger Car,Functional,N,Starting From Lane,2015.1.6 10:32,33,38.98168017,-76.58867598,0,1,눈길사고,등속 주행 사고
278,N,Apparently Normal,No Misuse,Y,No Injury,1e736d35-85e8-4a58-bc0a-2c46071dac1a,D,AC1846000Y,Shoulder/Lap Belt(s),F,9ad06d6d-2aff-4753-a78e-99c56e289076,Same Direction Rear End,N,Intersection Related,Right Turn Lane,Daylight,Foreign Material,"Two-way, Not Divided with a Continuous Left Turn Lane",Snow,Snow,Twelve o'clock,Passenger Car,Disabling,N,Slowing or Stopping,2015.2.21 15:44,18,38.98373179,-76.53953791,0,1,눈길사고,등속 주행 사고
279,N,Apparently Normal,No Misuse,N,No Injury,56ef88c1-0581-46ec-8f64-43cd26640e0f,D,AC1846000Y,Shoulder/Lap Belt(s),M,f004c8b8-0cba-4a34-8c29-ed618b014456,Same Direction Rear End,N,Intersection Related,Right Turn Lane,Daylight,Foreign Material,"Two-way, Not Divided with a Continuous Left Turn Lane",Snow,Snow,Six o'clock,Pickup Truck,Superficial,N,Stopped in Traffic Lane,2015.2.21 15:44,59,38.98373179,-76.53953791,0,1,눈길사고,등속 주행 사고
316,N,Apparently Normal,No Misuse,Y,No Injury,a1257adb-ef28-4a5b-ab76-ec220b9549c1,D,AC19210014,Shoulder/Lap Belt(s),F,7c296b96-ae6d-42a4-9d2e-969163ff2c7d,Single Vehicle ,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Slush,Wintry Mix,Twelve o'clock,Passenger Car,Superficial,N,Accelerating,2015.3.1 13:31,35,39.14495435,-76.54127722,0,2,눈길사고,미끌어짐에 의한 사고
323,N,Apparently Normal,No Misuse,Y,No Injury,120d6f2a-941e-4606-8044-d79f444e6d47,D,AC19510012,Shoulder/Lap Belt(s),F,d4571b53-0c22-40b5-a64a-1451723bbfef,Single Vehicle ,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Snow,Snow,Twelve o'clock,Passenger Car,Functional,N,Moving Constant Speed,2015.3.5 8:43,22,39.141468,-76.727203,0,0,눈길사고,감속 중 사고
326,N,Apparently Normal,No Misuse,Y,No Injury,d298d264-3055-4811-8159-998bbc38eb1b,D,AC1962000Y,Shoulder/Lap Belt(s),F,255a5c94-04e0-4ab5-886f-eda1578e1652,Single Vehicle ,N,Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Ice,Snow,Twelve o'clock,(Sport) Utility Vehicle,Disabling,N,Skidding,2015.1.6 10:13,35,39.21548068,-76.66302681,0,2,눈길사고,미끌어짐에 의한 사고
342,N,Apparently Normal,No Misuse,Y,No Injury,0472f63e-2c5c-4ddd-a7e6-08eb5813f775,D,AC1987001C,Shoulder/Lap Belt(s),F,d34c628e-614f-4abf-aff3-55d5db571528,Single Vehicle ,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Ice,Sleet,Two o'clock,Passenger Car,Disabling,N,Moving Constant Speed,2015.3.20 13:50,40,39.08484611,-76.66721106,0,0,눈길사고,감속 중 사고
343,N,Apparently Normal,No Misuse,N,No Injury,3825be87-67aa-42f7-afb7-5ac3ea182a2e,D,AC1990000Z,Shoulder/Lap Belt(s),F,f1cbe4ed-f94c-429c-b19d-3484a732b552,Same Direction Rear End,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Snow,Snow,Six o'clock,Passenger Car,Superficial,N,Parked  ,2015.1.6 8:06,43,39.08577597,-76.63732445,0,1,눈길사고,등속 주행 사고
344,N,Apparently Normal,No Misuse,N,No Injury,5c8ca0f0-da98-4996-8bc4-126ca13f900e,D,AC1990000Z,Shoulder/Lap Belt(s),F,3b8a6a95-515b-4c3f-b560-00aeef273cbe,Same Direction Rear End,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Snow,Snow,Six o'clock,Passenger Car,Superficial,N,Parked  ,2015.1.6 8:06,25,39.08577597,-76.63732445,0,1,눈길사고,등속 주행 사고
345,N,Apparently Normal,No Misuse,Y,No Injury,6eecb2dd-3282-48e2-b8c6-bb225d39bf6d,D,AC1990000Z,Shoulder/Lap Belt(s),M,1f396de8-91ca-433f-909c-30d542e425fc,Same Direction Rear End,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Snow,Snow,Twelve o'clock,Passenger Car,Disabling,N,Slowing or Stopping,2015.1.6 8:06,65,39.08577597,-76.63732445,0,1,눈길사고,등속 주행 사고
350,N,Apparently Normal,No Misuse,Y,No Injury,7e67c6d5-1527-445f-aa2c-0b40acba810c,D,AC1991001C,Shoulder/Lap Belt(s),F,db4e06f7-5b5c-475f-a3b4-7a083f8d1341,Single Vehicle ,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Snow,Snow,Twelve o'clock,Passenger Car,Disabling,N,Moving Constant Speed,2015.3.1 9:37,28,38.98326167,-76.61256167,0,0,눈길사고,감속 중 사고
358,N,Apparently Normal,No Misuse,Y,No Injury,c871cbce-02cc-44d2-8cd8-6b7a8f453332,D,AC20090011,Shoulder/Lap Belt(s),F,6c06bd8b-c3e6-4319-a8a7-6c954a3e0be5,Single Vehicle ,N,Non Intersection,Right Turn Lane,Dark - Unknown Lighting,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Snow,Wintry Mix,Twelve o'clock,Passenger Car,Functional,N,Moving Constant Speed,2015.1.29 18:01,47,39.07361093,-76.6753006,0,0,눈길사고,감속 중 사고
415,N,Apparently Normal,No Misuse,N,No Injury,f97ecced-8e3f-4a37-b47e-5ac2a7d07221,D,ADF1510001,Shoulder/Lap Belt(s),F,75d7ebce-c63d-4d73-832f-a944f8af3b77,Same Direction Rear End,N,Non Intersection,Right Turn Lane,Dark Lights On,No Defects,"Two-way, Not Divided",Wet,Snow,Six o'clock,Passenger Car,Functional,N,Stopped in Traffic Lane,2015.2.16 18:40,26,39.28081959,-76.63520828,0,1,눈길사고,등속 주행 사고
429,N,Apparently Normal,No Misuse,N,No Injury,b6442a99-173d-47dc-9ce8-48098cf6314b,D,ADF6020002,Shoulder/Lap Belt(s),F,f9579ee7-1f16-4bd7-b85b-2acf7204f299,Same Direction Rear End,N,Non Intersection,Acceleration Lane,Dark - Unknown Lighting,No Defects,One-way Trafficway,Snow,Snow,Twelve o'clock,(Sport) Utility Vehicle,Functional,N,Slowing or Stopping,2015.2.14 20:20,20,39.29629733,-76.61393166,0,1,눈길사고,등속 주행 사고
441,N,Apparently Normal,No Misuse,N,No Injury,5c8e47b2-d0bc-407d-8a97-714a9792f335,D,ADF783000H,Shoulder/Lap Belt(s),F,9f7245f7-469b-4963-83d5-fe5d6b8c1bd6,Angle Meets Left Turn Head On,N,Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Snow,Snow,Eleven o'clock,Passenger Car,Superficial,N,Stopped in Traffic Lane,2015.3.5 14:00,20,39.28881399,-76.63377732,0,2,눈길사고,미끌어짐에 의한 사고
